"","Date","AGWET","AGWI","AGWLI","AGWO","AGWS","BASET","CEPE","CEPS","day","GWVS","IFWI","IFWLI","IFWO","IFWS","IGWI","INFFAC","INFIL","LZET","LZI","LZLI","LZS","month","PERC","PERO","PERS","PET","PETADJ","SUPY","SURI","SURLI","SURO","SURS","TAET","TGWS","UZET","UZI","UZLI","UZS","year"
"13472",2020-11-18,0.000546675233636052,0,0,0.000486439586893539,0.00873273409282168,0,0,0,18,0.0131989747751504,0,0,0,0,0,1,0,0.00304968183627352,0,0,3.17719557881355,11,0,0.000486439586893539,3.23332170645396,0.00476339808665216,0.125,0,0,0,0,0,0.00371028641529847,0.00873273409282168,0.000113929278995784,0,0,0.0473933268028001,2020
"13473",2020-11-19,0.0018462554216967,0,0,0.000398032811972371,0.00709024191989253,0,0,0,19,0.0116178021611025,0,0,0,0,0,1,0,0.00931917477282696,0,0,3.17100616296132,11,0,0.000398032811972371,3.22524178028107,0.0160852228873409,0.479166666666667,0,0,0,0,0,0.0115482647961471,0.00709024191989253,0.000382834609808924,0,0,0.0471454104408622,2020
"13474",2020-11-20,0.00341502625087742,0,0,0.000235089649322617,0.00409381119728399,0,0,0,20,0.00862224103184416,0,0,0,0,0,1,0,0.0153274296899326,0,0,3.15846328934034,11,0,0.000235089649322617,3.20915194352468,0.0297448227065615,0.833333333333333,0,0,0,0,0,0.01944250613451,0.00409381119728399,0.000700050666637252,0,0,0.0465948958881199,2020
"13475",2020-11-21,0.00224471361434553,0,0,5.88204417226734e-05,0.000967195486737183,0,8.48169511300512e-05,0,21,0.005418638989795,0,0,0,0,0,1,0,0.0177484465530142,0,0,3.14186901847521,11,0,5.88204417226734e-05,3.18867359558741,0.0346816647797823,1,8.48169511300512e-05,0,0,0,0,0.0208791865152307,0.000967195486737183,0.000801209665951318,0,0,0.0458373959797124,2020
"13476",2020-11-22,0,0,0,0,0,0,0,0,22,0.00432733630683894,0,0,0,0,0,1,0,0.0175506207160652,0,0,3.12427351872126,11,0,0,3.16934035221735,0.0330750989960506,1,0,0,0,0,0,0.0183036069502123,0,0.000752986059524119,0,0,0.045066852743427,2020
"13477",2020-11-23,0,0,0,0,0,0,0.0260081982705742,0.0396358280753096,23,0.00419751609054704,0,0,0,0,0,1,0,0,0,0,3.11553192138672,11,0,0,3.19985981782277,0.0260081982705742,0.958333333333333,0.0649305051192642,0,0,0,0,0.0260081982705742,0,0,0,0,0.0446921549737453,2020
"13478",2020-11-24,0,0,0,0,0,0,0.0176193356164731,0.0302641132536034,24,0.00407159054884687,0,0,0,0,0,1,0,0,0,0,3.11553192138672,11,0,0,3.19048807024956,0.0176193356164731,0.520833333333333,0,0,0,0,0,0.0176193356164731,0,0,0,0,0.0446921549737453,2020
"13479",2020-11-25,0,0,0,0,0,0,0.0213029707083479,0.0102009376219219,25,0.00394944311119616,0,0,0,0,0,1,0,0.00285209325375035,0,0,3.11446355779966,11,0,0,3.16932108004888,0.0255127024138346,0.8125,0.000431145028869651,0,0,0,0,0.0242499422165565,0,9.48783017520327e-05,0,0,0.0446566139968733,2020
"13480",2020-11-26,0,0,0,0,0,0,0.00172351463697851,0.000268206476903288,26,0.00383095981669612,0,0,0,0,0,1,0,0.0176217167900177,0,0,3.10398825009664,11,0,0,3.14844453334809,0.0387081617955118,1,0.00129236963857693,0,0,0,0,0.0201708861859515,0,0.000825655001790438,0,0,0.044188005849719,2020
"13481",2020-11-27,0,0,0,0,0,0,0,0,27,0.00371603105061998,0,0,0,0,0,1,0,0.0177202153718099,0,0,3.08623234430949,11,0,0,3.12962784369787,0.0344735238468274,1,0,0,0,0,0,0.0184759151889011,0,0.000755699516957974,0,0,0.0433954522013664,2020
"13482",2020-11-28,0,0,0,0,0,0,0,0,28,0.00360455006011762,0,0,0,0,0,1,0,0.0152309518889524,0,0,3.06969904899597,11,0,0,3.11242838700612,0.0264649292803369,0.979166666666667,0,0,0,0,0,0.0158020769013092,0,0.000571124888665508,0,0,0.0427293435980876,2020
"13483",2020-11-29,0,0,0,0,0,0,0,0,29,0.00349641355569475,0,0,0,0,0,1,0,0.0136902511003427,0,0,3.05532004435857,11,0,0,3.09752215941747,0.022936197987292,0.729166666666667,0,0,0,0,0,0.0141790409688838,0,0.000488789993141836,0,0,0.0422021647294362,2020
"13484",2020-11-30,0,0.0308589640480932,0,0.00117253572352638,0.0222755832655821,0,0.0285615269094706,0.0640103122859728,30,0.0261099326986975,0.00104329075696796,0,0.000595662941350383,0.000523674259360026,0,1,0.59988921135664,0,0.569030254147947,0,3.47290376822154,11,0,0.00222352938362747,3.63710458079974,0.0285615269094706,1,0.737254662122353,0.64821976236999,0,0.000455330713208468,0,0.0285615269094706,0.0222755832655821,0,0.0468319207193417,0,0.0773912641840676,2020
"13485",2020-12-01,0,0.00201103751601295,0,0.00166191832977347,0.0298192850314081,0,0.00720041766180657,0.0741432535772522,1,0.0342567336435119,8.71537238009145e-06,0,0.00031063727738001,0.000262031663927094,0,1,0.0339112304864103,0,0.0319001915122499,0,3.63323312004407,12,0,0.00197620265680598,3.82644621531169,0.00720041766180657,0.354166666666667,0.061036959552439,0.0343099188248743,0,3.64703424793333e-06,0,0.00720041766180657,0.0298192850314081,0,0.000386326354827826,0,0.0889885267242789,2020
"13486",2020-12-02,0,6.45047748548677e-07,0,0.00163080486527178,0.0291791802737862,0,0.0124353155842982,0.0742051023989916,2,0.0342175092858572,2.58814410875052e-12,0,9.99341509668739e-05,8.42394468539472e-05,0,1,1.08771528175566e-05,0,1.02321046142606e-05,0,3.64935646454493,12,0,0.00173073902260512,3.8419992228349,0.0124353155842982,0.291666666666667,1.08772710518679e-05,1.08772710518679e-05,0,0,0,0.0124353155842982,0.0291791802737862,0,1.14634281234149e-10,0,0.0891742557287216,2020
"13487",2020-12-03,0,0,0,0.00154183059203206,0.0275951839673022,0,0.018736309488304,0.0584062033643325,3,0.0331910355016589,0,0,2.65657166096389e-05,2.23935587655433e-05,0,1,0,0,0,0,3.64935731887817,12,0,0.0015683963210904,3.82456012566884,0.018736309488304,0.604166666666667,0,0,0,0,0,0.018736309488304,0.0275951839673022,0,0,0,0.0891790557652712,2020
"13488",2020-12-04,0,0.0216059372614836,0,0.00156985356079531,0.0289766896360864,0,0.0257758322986774,0.0636720731854439,4,0.0350884408690035,0.000518854464019113,0,2.67929788151378e-05,3.23999741643396e-05,0,1,0.320172071922571,0,0.29856613650918,0,3.69059760371844,12,0,0.00180906627792865,3.8744379679362,0.0257758322986774,1,0.400703128419991,0.343755671055987,0,0.000212419738375047,0,0.0257758322986774,0.0289766896360864,0,0.0228523186015082,0,0.0911592210953435,2020
"13489",2020-12-05,0,0.0117075402959017,0,0.00314482311659958,0.056301087141037,0,0.0212047501699999,0.0695353883008162,5,0.0630425702159604,0.000169396528545196,0,0.000419915688326,0.000357468453633677,0,1,0.153015786170727,0,0.141308245889377,0,4.08133607109388,12,0,0.0036327001726022,4.32677928606669,0.0212047501699999,0.875,0.160670577490237,0.160670577490237,0,6.79613756511266e-05,0,0.0212047501699999,0.056301087141037,0,0.00741743459195731,0,0.119249118181567,2020
"13490",2020-12-06,0,0,0,0.00303411499771755,0.0538678579032421,0,0.0062078520131763,0.0559249497018754,6,0.0618189759552479,0,0,0.000135539542725382,0.000114252995444986,0,1,0,0,0,0,4.08923149108887,12,0,0.00316965451929718,4.31864585479101,0.0062078520131763,0.166666666666667,0,0,0,0,0,0.0062078520131763,0.0538678579032421,0,0,0,0.119507133960724,2020
"13491",2020-12-07,0,0,0,0.00286668346234364,0.0509217395447195,0,0,0.0530336597003042,7,0.059964408321927,0,0,4.25781206558895e-05,3.58912075929159e-05,0,1,0,0,0,0,4.08923149108887,12,0,0.0029092616023263,4.31273007392883,0,0,0.000563697889447212,0,0,0,0,0,0.0509217395447195,0,0,0,0.119507133960724,2020
"13492",2020-12-08,0,0,0,0.00270861077297014,0.0481381340262791,0,0.00406243104953318,0.0517262811772525,8,0.0581654751052459,0,0,0,0,0,1,0,0,0,0,4.08923149108887,12,0,0.00270861077297014,4.30862275759379,0.00406243104953318,0.104166666666667,0.000406381404900458,0,0,0,0,0.00406243104953318,0.0481381340262791,0,0,0,0.119526639580727,2020
"13493",2020-12-09,0,0,0,0.0025593639438739,0.0455079621945818,0,0.00840543839149177,0.0466629407989482,9,0.0564205087721348,0,0,0,0,0,1,0,0,0,0,4.08923149108887,12,0,0.0025593639438739,4.30092918872833,0.00840543839149177,0.229166666666667,0.00151540641672909,0,0,0,0,0.00840543839149177,0.0455079621945818,0,0,0,0.119526639580727,2020
"13494",2020-12-10,0,0,0,0.0024184411886381,0.043022660848995,0,0.0172513479483314,0.0341871645456801,10,0.0547278940988084,0,0,0,0,0,1,0,0,0,0,4.08923149108887,12,0,0.0024184411886381,4.28596816460292,0.0172513479483314,0.458333333333333,0,0,0,0,0,0.0172513479483314,0.043022660848995,0,0,0,0.119526639580727,2020
"13495",2020-12-11,0,0,0,0.00228536988288397,0.0406741561988989,0,0.0236927983933128,0.0136020646120111,11,0.053086057305336,0,0,0,0,0,1,0,0,0,0,4.08923149108887,12,0,0.00228536988288397,4.26303448279699,0.0236927983933128,0.6875,0,0,0,0,0,0.0236927983933128,0.0406741561988989,0,0,0,0.119526639580727,2020
"13496",2020-12-12,0.00313145435939077,0,0,0.00207887474971358,0.0368993539984027,0,0.0016608675941825,0.000579093262786045,12,0.0499170841649175,0,0,0,0,0,1,0,0.0148173656198196,0,0,4.08181289831797,12,0,0.00207887474971358,4.23796246449153,0.0299923338461667,1,0,0,0,0,0,0.0213081571273506,0.0368993539984027,0.00169846975040855,0,0,0.118671053710083,2020
"13497",2020-12-13,0.00340980481996667,0,0,0.00178652121394407,0.0317221009948601,0,0,0,13,0.0452119448843101,0,0,0,0,0,1,0,0.016407202987466,0,0,4.06625723838806,12,0,0.00178652121394407,4.2149017850558,0.0308205200708471,1,0,0,0,0,0,0.0216371636488475,0.0317221009948601,0.00182015602695174,0,0,0.116922494334479,2020
"13498",2020-12-14,0,0.0450140715111047,0,0.00292089577123989,0.0535339717753232,0,0.0205498407594859,0.0536110060687254,14,0.0677594371760885,0.002445608405651,0,0.00117952318419157,0.00104481900871178,0,1,0.508573492988944,0,0.463559415191412,0,4.32375055551529,12,0,0.0043375691093388,4.61077876885732,0.0205498407594859,0.791666666666667,0.710158867215795,0.617566777393222,0,0.00023715016436654,2.99657755628383e-05,0.0205498407594859,0.0535339717753232,0,0.106310533359647,0,0.178808454424143,2020
"13499",2020-12-15,0,0,0,0.00392344630381558,0.0692142965272069,0,0.00300846862955951,0.0707898462812106,15,0.0846425223474701,0,0,0.000868359709784272,0.00073198342336885,0,1,0,0,0,0,4.52156639099121,12,0,0.00479180610273033,4.88462120294571,0.00300846862955951,0.0833333333333333,0,0,0,0,0,0.00300846862955951,0.0692142965272069,0,0,0,0.222318544983864,2020
"13500",2020-12-16,0,8.01829373813234e-05,0,0.003707024952746,0.065445271320641,0,0,0.0754234517614047,16,0.0821433393284678,2.21830749325136e-08,0,0.000272794230113505,0.000229952229953293,0,1,0.000800060108304024,0,0.000719877134542912,0,4.52192640304566,12,0,0.00397982762660831,4.88534414768219,0,0,0.0117672631713503,0.000801045040134341,0,8.35811508892448e-09,0,0,0.065445271320641,0,9.54412143983063e-07,0,0.222319021821022,2020
