"","gageid","drainage_area","begin_utc","end_utc","monitoring_location_name","regression_Rsq","regression_m_pvalue","regression_m"
"50","0163287828",10.9,2024-05-03 04:00:00,2026-08-03 04:00:00,"WAR BRANCH BELOW TRIB NEAR TENTH LEGION, VA",NA,NA,NA
"51","01616100",11,2002-08-22 04:00:00,2026-08-02 04:00:00,"DRY MARSH RUN NEAR BERRYVILLE, VA",0.265940041680905,4.90723017324454e-06,-0.00807453844879068
"52","0163626650",11.2,2002-05-01 04:00:00,2009-10-12 04:00:00,"MANASSAS RUN AT RT 645 NEAR FRONT ROYAL, VA",0.407109882431536,0.559481251094454,-0.0155136043333639
"53","02031500",11.2,1952-04-01 05:00:00,1984-09-29 04:00:00,"N F MOORMANS RIVER NEAR WHITE HALL, VA",1,NA,0.061633221553902
"54","02055100",11.7,1956-05-01 04:00:00,2026-08-03 04:00:00,"TINKER CREEK NEAR DALEVILLE, VA",0.102291041525616,0.00431129436776104,-0.00767071232373154
"55","02014500",12.3,1947-10-01 05:00:00,1956-09-29 04:00:00,"SMITH CREEK ABOVE OLD DAM NEAR CLIFTON FORGE, VA",0.115919577447063,0.659530357524989,0.0184919096359401
"56","02015000",12.4,1944-10-01 04:00:00,1947-03-31 05:00:00,"SMITH CREEK NEAR CLIFTON FORGE, VA",NA,NA,NA
"57","01652500",12.6,1951-05-04 04:00:00,2026-08-04 04:00:00,"FOURMILE RUN AT ALEXANDRIA, VA",NA,NA,NA
"58","01655500",13.1,1950-10-01 05:00:00,1987-01-06 05:00:00,"CEDAR RUN NEAR WARRENTON, VA",0.419963503377619,0.551172961300383,0.061604195752672
"59","01636690",13.5,2001-10-01 04:00:00,2026-08-02 04:00:00,"PINEY RUN NEAR LOVETTSVILLE, VA",0.363607627385564,0.0495533980890227,-0.0164700481701776
"60","03477500",13.7,1945-10-01 05:00:00,1956-09-29 04:00:00,"BEAVER CREEK NEAR WALLACE, VA",0.112837557987845,0.664086978537829,-0.0106211936756887
"61","02038830",13.9,1979-11-09 05:00:00,1981-07-27 04:00:00,"FISHPOND CREEK NEAR HIXBURG, VA",0.69014997918349,0.375820755535886,-0.0105499545010528
"62","03523500",14.1,1942-04-01 04:00:00,1948-09-29 05:00:00,"THOMPSON CREEK NEAR COULWOOD, VA",NA,NA,NA
"63","0166818623",14.3,2014-04-23 04:00:00,2016-07-04 04:00:00,"MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA",NA,NA,NA
"64","01662500",14.6,1953-10-01 05:00:00,1977-09-29 04:00:00,"RUSH RIVER AT WASHINGTON, VA",0.496438554304008,0.118015383362964,0.024460542843809
"65","02042410",15,NA,NA,"UPHAM BROOK AT SPRING PK AT RT 161 AT RICHMOND, VA",NA,NA,NA
"66","01614830",15.2,2000-12-06 05:00:00,2009-10-28 04:00:00,"OPEQUON CREEK NEAR STEPHENS CITY, VA",0.0260343148311916,0.536132890172795,0.00449876852278101
"67","02045200",15.2,1966-01-01 05:00:00,1967-09-29 04:00:00,"WAQUA CREEK NEAR ALBERTA, VA",NA,NA,NA
"68","01668800",15.4,1964-10-01 04:00:00,1987-01-13 05:00:00,"HOSKINS CREEK NEAR TAPPAHANNOCK, VA",0.229364996487457,0.414405809092713,-0.0220258432652637
"69","02032000",17.8,1943-08-05 04:00:00,1946-09-29 04:00:00,"MOORMANS RIVER NEAR WHITE HALL, VA",1,NA,-0.00469649574979601
"70","03208700",18.5,1961-10-01 04:00:00,1987-09-29 04:00:00,"N F POUND RIVER AT POUND, VA",NA,NA,NA
"71","01621470",18.8,1999-02-18 05:00:00,2001-01-23 05:00:00,"BLACKS RUN AT RT 704 NEAR MOUNT CRAWFORD, VA",NA,NA,NA
"72","01630700",20.5,2002-05-29 04:00:00,2009-10-27 04:00:00,"GOONEY RUN NEAR GLEN ECHO, VA",0.0976168825074216,0.608763203011035,-0.0166694169796525
"73","03488450",21.4,1979-07-10 04:00:00,1981-12-31 05:00:00,"BRUMLEY CREEK AT BRUMLEY GAP, VA",0.0027247437582359,0.947800921864117,0.00308912154514019
"74","01660100",22.1,1996-03-01 05:00:00,2002-02-28 05:00:00,"CHOPAWAMSIC CREEK AT RUSSELL ROAD NR JOPLIN, VA",NA,NA,NA
"75","02036500",22.4,1944-10-01 04:00:00,2026-08-03 04:00:00,"FINE CREEK AT FINE CREEK MILLS, VA",0.5179338748369,0.170475423090753,0.0346654580514876
"76","01638420",23.1,2001-07-20 04:00:00,2026-08-03 04:00:00,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",0.000532195795876659,0.965402084891447,-0.00119290932633277
"77","03527500",23.1,1952-10-01 05:00:00,1959-04-30 04:00:00,"N F CLINCH RIVER AT DUFFIELD, VA",NA,NA,NA
"78","02043500",23.6,1953-10-01 05:00:00,1996-09-29 04:00:00,"CYPRESS SWAMP AT CYPRESS CHAPEL, VA",NA,NA,NA
"79","01654000",23.9,1947-10-01 05:00:00,2026-08-03 04:00:00,"ACCOTINK CREEK NEAR ANNANDALE, VA",1,NA,-0.00559276672774309
"80","02043200",24.3,1998-01-31 05:00:00,1999-07-10 04:00:00,"WEST NECK CREEK AT INDIAN RIVER RD AT PUNGO, VA",NA,NA,NA
"81","01673550",25.5,1977-10-01 04:00:00,2026-08-03 04:00:00,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA",0.256073454808749,0.0162660588727937,0.00883143304269129
"82","01656725",25.7,1969-05-01 04:00:00,1986-12-31 05:00:00,"BULL RUN NEAR CATHARPIN, VA",NA,NA,NA
"83","01662800",25.8,1958-05-01 04:00:00,2026-08-03 04:00:00,"BATTLE RUN NEAR LAUREL MILLS, VA",0.0295579124619682,0.411215451826342,0.00514184204368955
"84","03487800",25.8,1966-01-01 05:00:00,1968-09-29 04:00:00,"LICK CREEK NEAR CHATHAM HILL, VA",0.0270266413095582,0.894863843709171,-0.00449329083489208
"85","02071530",26.3,1994-10-01 04:00:00,2026-08-03 04:00:00,"SMITH RIVER AT SMITH RIV CHURCH NR WOOLWINE, VA",0.0827363360041159,0.0406868830171468,-0.00610866237118824
"86","01670230",26.9,2025-07-08 04:00:00,2026-08-03 04:00:00,"TERRYS RUN NEAR TATUM, VA",NA,NA,NA
"87","03478400",26.9,1957-10-01 04:00:00,2026-08-03 04:00:00,"BEAVER CREEK AT BRISTOL, VA",0.302872911610002,7.05569027255159e-08,-0.0115257856527655
"88","01669000",27.9,1951-10-01 05:00:00,2026-08-03 04:00:00,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",0.17235886946798,0.0771322568504707,0.0111541716728682
"89","03524900",30.8,1980-03-01 05:00:00,1981-09-29 04:00:00,"STONY CREEK AT KA, VA",NA,NA,NA
"90","01638350",31.6,2001-07-01 04:00:00,2026-08-04 04:00:00,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",0.0199473224008711,0.678714058251694,-0.0027985089922244
"91","VA087-03167317",31.7,NA,NA,"GREASY CREEK NR INDIAN VALLEY, VA",NA,NA,NA
"92","02038000",33.1,1955-10-01 04:00:00,1994-12-07 05:00:00,"FALLING CREEK NEAR CHESTERFIELD, VA",1,NA,-0.113992854862297
"93","VA087-03169055",33.8,NA,NA,"LITTLE RIVER AT RIVER RIDGE RD NEAR FLOYD, VA",NA,NA,NA
"94","02018500",34.3,1943-10-01 04:00:00,2026-08-03 04:00:00,"CATAWBA CREEK NEAR CATAWBA, VA",0.0162584736837817,0.415171873193873,-0.00289246862441198
"95","02032400",34.5,1979-09-24 04:00:00,1997-10-16 04:00:00,"BUCK MOUNTAIN CREEK NEAR FREE UNION, VA",1,NA,0.0427122875526211
"96","01660400",35,1971-09-01 04:00:00,2026-08-03 04:00:00,"AQUIA CREEK NEAR GARRISONVILLE, VA",0.00122107393145904,0.965056131704416,-0.00162407482427156
"97","02022500",35.1,1927-04-01 05:00:00,2026-08-03 04:00:00,"KERRS CREEK NEAR LEXINGTON, VA",0.506168674128979,2.07819281300782e-08,-0.0198477200789704
"98","02025652",35.3,2012-02-09 05:00:00,2026-08-03 04:00:00,"HARRIS CREEK BELOW ROUTE 130 NEAR MONROE, VA",0.242245220243979,0.178328098203351,0.00631106423528982
"99","03208800",36.7,1965-10-01 04:00:00,1978-09-29 04:00:00,"POUND RIVER ABOVE INDIAN CREEK, AT POUND, VA",0.10948875914047,0.785301602373962,-0.00605467462907463
"100","01655000",37.1,1949-10-01 05:00:00,1956-09-29 04:00:00,"ACCOTINK CREEK NEAR ACCOTINK STATION, VA",NA,NA,NA
"101","02042426",37.4,1989-12-08 05:00:00,1994-12-14 05:00:00,"UPHAM BROOK NEAR RICHMOND, VA",NA,NA,NA
"102","01643805",38.1,2001-07-19 04:00:00,2026-08-03 04:00:00,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",0.198504516258658,0.146622474205094,-0.0103363828196687
"103","02044000",38.7,1946-10-01 05:00:00,1987-01-13 05:00:00,"NOTTOWAY RIVER NEAR BURKEVILLE, VA",0.100144849020856,0.489257935239429,0.00676567124457172
"104","02064500",39.2,1929-10-01 05:00:00,1934-09-29 04:00:00,"LITTLE FALLING RIVER AT HAT CREEK, VA",NA,NA,NA
"105","03165000",39.4,1944-10-01 04:00:00,2026-08-03 04:00:00,"CHESTNUT CREEK AT GALAX, VA",0.0102076272714458,0.514042873789166,-0.00188042111327664
"106","03177700",39.7,1965-10-01 04:00:00,1980-09-29 04:00:00,"BLUESTONE RIVER AT BLUEFIELD, VA",1,NA,0.0207707337494603
"107","02036000",39.8,1944-10-01 04:00:00,1947-09-29 05:00:00,"BEAVERDAM CREEK AT STATE FARM, VA",NA,NA,NA
"108","01625900",40.8,1974-05-11 04:00:00,1977-09-29 04:00:00,"BACK CREEK AT LYNDHURST, VA",1,NA,-0.0502231324747795
"109","03525000",41.5,1949-10-01 05:00:00,1952-09-29 05:00:00,"STONY CREEK AT FORT BLACKMORE, VA",NA,NA,NA
"110","01670180",41.9,1989-08-25 04:00:00,1992-09-29 04:00:00,"PAMUNKEY CREEK AT LAHORE, VA",NA,NA,NA
"111","03489870",42.1,1966-03-30 05:00:00,1968-09-29 04:00:00,"BIG MOCCASIN CR AT COLLINWOOD, NR HANSONVILLE, VA",NA,NA,NA
"112","03177710",44.3,1980-10-01 04:00:00,2026-08-03 04:00:00,"BLUESTONE RIVER AT FALLS MILLS, VA",0.319202624281112,0.112942264261623,-0.0251200879153504
"113","01668500",45.6,1943-10-01 04:00:00,1999-09-29 04:00:00,"CAT POINT CREEK NEAR MONTROSS, VA",0.189234130897876,0.0380336972771144,0.015177146671325
"114","01632082",45.7,1985-08-09 04:00:00,2026-08-03 04:00:00,"LINVILLE CREEK AT BROADWAY, VA",0.0671768295930001,0.0893355873743285,-0.00752176287637536
"115","01636242",46.9,2004-10-27 04:00:00,2009-10-27 04:00:00,"CROOKED RUN BELOW HWY 340 AT RIVERTON, VA",0.989032904686392,0.00549866531693799,-0.063306703915666
"116","01661977",48.5,2017-07-28 04:00:00,2021-04-07 04:00:00,"CARTER RUN AT ROUTE 681 NEAR JEFFERSONTON, VA",1,NA,0.0509419268476357
"117","01674182",49,2012-10-22 04:00:00,2026-08-04 04:00:00,"POLECAT CREEK AT ROUTE 301 NEAR PENOLA, VA",0.154491611449053,0.512750231669906,-0.0127366373910181
"118","03523000",51.6,1952-10-01 05:00:00,1959-09-29 04:00:00,"BIG CEDAR CREEK NEAR LEBANON, VA",1,NA,0.82886440316466
"119","02079640",53.5,1961-10-01 04:00:00,2026-08-04 04:00:00,"ALLEN CREEK NEAR BOYDTON, VA",0.38662277490277,0.0308801119597823,0.00958444945135958
"120","03472500",55.6,1947-10-01 05:00:00,1959-09-29 04:00:00,"BEAVERDAM CREEK AT DAMASCUS, VA",1,NA,-1.01024443033969
"121","02056650",55.8,1974-07-01 04:00:00,2026-08-03 04:00:00,"BACK CREEK NEAR DUNDEE, VA",0.0758227388182902,0.214861274910354,-0.00651537114833464
"122","02051000",56,1946-10-01 05:00:00,2026-08-03 04:00:00,"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA",0.637378699388021,0.00185062273600808,0.0196488114998225
"123","01646000",57.8,1935-04-01 05:00:00,2026-08-03 04:00:00,"DIFFICULT RUN NEAR GREAT FALLS, VA",0.370228344292151,0.0357779960216379,0.0128121835733107
"124","01615000",58.2,1943-10-01 04:00:00,2026-08-03 04:00:00,"OPEQUON CREEK NEAR BERRYVILLE, VA",0.362994508355686,0.00493324652626973,-0.0159835123852828
"125","0203668750",59.6,2026-03-12 04:00:00,2026-08-03 04:00:00,"TUCKAHOE CREEK AT RIVER RD AT TUCKAHOE VILLAGE, VA",NA,NA,NA
"126","03168500",60.8,1927-10-01 05:00:00,1957-09-29 04:00:00,"PEAK CREEK AT PULASKI, VA",NA,NA,NA
"127","02011460",60.9,1974-07-01 04:00:00,2026-08-03 04:00:00,"BACK CREEK NEAR SUNRISE, VA",0.162241476829166,0.030280245909167,-0.00996333978380231
"128","03208850",61.2,1965-10-01 04:00:00,1978-09-29 04:00:00,"POUND RIVER BELOW BOLD CAMP CREEK, AT POUND, VA",1,NA,-0.00360196315665242
"129","02042287",62.2,1990-01-18 05:00:00,1997-10-05 04:00:00,"CHICKAHOMINY RIVER AT CHAMBERLAYNE RD NR ATLEE, VA",NA,NA,NA
"130","02055379",62.6,2019-09-13 04:00:00,2024-10-07 04:00:00,"TINKER CREEK UPPER AT COLUMBIA ST AT ROANOKE, VA",0.0274866082180007,0.834209143141124,-0.00986203550745473
"131","02037000",66.6,1936-10-01 05:00:00,2026-08-03 04:00:00,"JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA",0.0211867774871916,0.279986559875092,0.00453391071972281
"132","02035500",68.4,1944-10-01 04:00:00,1946-09-29 04:00:00,"LICKINGHOLE CREEK NEAR GOOCHLAND, VA",NA,NA,NA
"133","02073500",68.4,1925-10-01 05:00:00,1934-09-29 04:00:00,"LEATHERWOOD CREEK NEAR OLD LIBERTY, VA",NA,NA,NA
"134","02052500",68.7,1953-10-01 05:00:00,1997-02-04 05:00:00,"FOUNTAINS CREEK NEAR BRINK, VA",0.177718224901391,0.224975051283935,0.0130465466008035
"135","02026500",69,1927-10-01 05:00:00,1938-03-31 05:00:00,"TYE RIVER AT ROSELAND, VA",0.963533727329513,0.122321091291871,-0.0806118173430779
"136","VA087-03169244",70.7,NA,NA,"LITTLE RIVER AT GALLIMORE LANE NEAR FLOYD, VA",NA,NA,NA
"137","03530500",71.2,1944-10-01 04:00:00,1995-09-29 04:00:00,"N F POWELL RIVER AT PENNINGTON GAP, VA",NA,NA,NA
"138","01621000",73,1946-08-30 04:00:00,1948-09-29 05:00:00,"DRY RIVER AT RAWLEY SPRINGS, VA",NA,NA,NA
"139","02011470",75.6,1984-10-01 04:00:00,2026-08-04 04:00:00,"BACK CREEK AT SUNRISE, VA",0.0823673989476116,0.581323790830296,0.0124108834171705
"140","03471500",76.6,1920-10-01 04:00:00,2026-08-03 04:00:00,"S F HOLSTON RIVER AT RIVERSIDE, NEAR CHILHOWIE, VA",0.0813679650282793,0.00138386155095766,-0.00944431367596713
"141","01633500",77.5,1947-04-01 05:00:00,1956-09-29 04:00:00,"STONY CREEK AT COLUMBIA FURNACE, VA",NA,NA,NA
"142","01673800",77.6,1962-10-01 04:00:00,2026-08-03 04:00:00,"PO RIVER NEAR SPOTSYLVANIA, VA",0.28277389644525,0.075169173126622,0.00968601178804031
"143","03489900",79.6,1952-10-01 05:00:00,1968-09-29 04:00:00,"BIG MOCCASIN CREEK NEAR GATE CITY, VA",1,NA,-0.0140498233559238
"144","03213590",84.5,1980-04-01 05:00:00,1981-10-06 04:00:00,"KNOX CREEK AT KELSA, VA",NA,NA,NA
"145","02069700",85.5,1962-10-01 04:00:00,2026-08-03 04:00:00,"SOUTH MAYO RIVER NEAR NETTLERIDGE, VA",0.0198596259548057,0.21542342788457,-0.0031061104099798
"146","02047100",86.1,1982-03-23 05:00:00,1987-11-10 05:00:00,"ASSAMOOSICK SWAMP NEAR SEBRELL, VA",7.89238026347876e-06,0.996423044408897,-0.000107592970114916
"147","03524500",87.2,1949-10-01 05:00:00,2022-11-06 04:00:00,"GUEST RIVER AT COEBURN, VA",0.0592614449469032,0.527917306781986,-0.0124877188624112
"148","03208100",87.7,1981-07-01 04:00:00,1983-09-29 04:00:00,"RUSSELL FORK NEAR BIRCHLEAF, VA",NA,NA,NA
"149","02011480",88.6,1973-10-01 04:00:00,1984-12-31 05:00:00,"BACK CREEK ON ROUTE 600, NEAR MOUNTAIN GROVE, VA",0.44953883500735,0.532179360006121,-0.0663782735321979
"150","01638480",89.5,1970-10-31 05:00:00,2026-08-03 04:00:00,"CATOCTIN CREEK AT TAYLORSTOWN, VA",0.050289244523176,0.281186183468931,-0.00554358914438956
"151","01656650",89.6,1974-10-01 04:00:00,1986-12-31 05:00:00,"BROAD RUN NEAR BRISTOW, VA",NA,NA,NA
"152","02027000",93,1938-10-01 05:00:00,2026-08-03 04:00:00,"TYE RIVER NEAR LOVINGSTON, VA",0.0341552664727792,0.0884746548870971,-0.00487122770123365
"153","01656000",93.4,1950-10-01 05:00:00,2026-08-03 04:00:00,"CEDAR RUN NEAR CATLETT, VA",0.000128682058085323,0.982985012705953,-0.00061449403812678
"154","01632900",93.6,1960-08-01 04:00:00,2026-08-03 04:00:00,"SMITH CREEK NEAR NEW MARKET, VA",0.178513132117433,1.62554923496524e-05,-0.00932551669444554
"155","02028500",94.8,1943-04-01 04:00:00,2026-08-03 04:00:00,"ROCKFISH RIVER NEAR GREENFIELD, VA",0.00283172387471095,0.62243476337781,0.00139184498819766
"156","02053000",95.9,1943-10-01 04:00:00,1953-09-30 05:00:00,"FONTAINE CREEK NEAR EMPORIA, VA",1,NA,-0.166026620580304
"157","02065500",97.6,1946-10-01 05:00:00,2026-08-03 04:00:00,"CUB CREEK AT PHENIX, VA",0.186240252116222,0.00344550256442382,0.00695846982746029
"158","03524550",99.52,1996-10-01 04:00:00,1998-09-29 04:00:00,"GUEST RIVER NEAR MILLER YARD, VA",NA,NA,NA
"159","02048500",102,1942-10-01 04:00:00,1949-09-29 05:00:00,"SEACOCK CREEK AT UNITY, VA",1,NA,0.0504594306778595
"160","03522000",102,1949-10-01 05:00:00,1952-09-29 05:00:00,"LITTLE RIVER AT WARDELL, VA",NA,NA,NA
"161","02029500",104,1926-04-01 05:00:00,1938-09-30 05:00:00,"HARDWARE RIVER NEAR SCOTTSVILLE, VA",0.492499324181027,0.50477525764835,0.0185494891394789
"162","02017500",105,1926-10-01 05:00:00,2026-08-03 04:00:00,"JOHNS CREEK AT NEW CASTLE, VA",0.151424907815266,8.91445856937143e-05,-0.0167329731379988
"163","03526000",106,1947-10-01 05:00:00,1998-09-29 04:00:00,"COPPER CREEK NEAR GATE CITY, VA",0.139861464000129,0.114717232494042,-0.0127315569302673
"164","01671100",107,1961-10-01 04:00:00,2026-08-03 04:00:00,"LITTLE RIVER NEAR DOSWELL, VA",0.00839479606556159,0.64286467207604,0.00237292072956047
"165","02032640",108,1993-10-01 04:00:00,2026-08-03 04:00:00,"N F RIVANNA RIVER NEAR EARLYSVILLE, VA",3.72377977782774e-07,0.997639443012883,-2.11682193375407e-05
"166","02015700",110,1960-08-01 04:00:00,2026-08-03 04:00:00,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",0.579258239129071,8.28012405685538e-10,-0.0289591490448384
"167","02023500",112,1949-11-01 05:00:00,1962-03-31 05:00:00,"SOUTH RIVER NEAR RIVERSIDE, VA",0.00964960630850505,0.787178166308466,-0.00356347322809887
"168","01665500",115,1942-10-01 04:00:00,2026-08-03 04:00:00,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA",0.0347128275275678,0.0570414518116797,-0.00587307559336557
