"GroupID","Day","Date","Forecast","Observed","AGWRC","Residuals"
25,11,2002-02-25,104.56034908028,87.3,0.979714671350741,17.2603490802801
25,12,2002-02-26,102.439308035505,84.5,0.979714671350741,17.9393080355053
25,13,2002-02-27,100.361293005402,82.8,0.979714671350741,17.5612930054024
25,14,2002-02-28,98.3254311931232,79.4,0.979714671350741,18.9254311931232
25,15,2002-03-01,96.3308675067905,75.8,0.979714671350741,20.5308675067905
28,1,2003-10-20,137.983823990157,139,0.978608680781258,-1.01617600984264
28,2,2003-10-21,135.032167964161,134,0.978608680781258,1.0321679641612
28,3,2003-10-22,132.143651754441,131,0.978608680781258,1.14365175444104
28,4,2003-10-23,129.316924717031,129,0.978608680781258,0.316924717031497
28,5,2003-10-24,126.550665100023,128,0.978608680781258,-1.44933489997655
28,6,2003-10-25,123.843579425525,127,0.978608680781258,-3.15642057447528
28,7,2003-10-26,121.194401884842,130,0.978608680781258,-8.8055981151583
28,8,2003-10-27,118.601893746599,148,0.978608680781258,-29.3981062534015
28,9,2003-10-28,116.064842777518,148,0.978608680781258,-31.9351572224823
28,10,2003-10-29,113.582062675591,146,0.978608680781258,-32.4179373244093
28,11,2003-10-30,111.152392515374,140,0.978608680781258,-28.847607484626
28,12,2003-10-31,108.774696205151,135,0.978608680781258,-26.2253037948493
28,13,2003-11-01,106.447861955705,130,0.978608680781258,-23.5521380442953
28,14,2003-11-02,104.170801760458,129,0.978608680781258,-24.8291982395424
28,15,2003-11-03,101.942450886727,127,0.978608680781258,-25.0575491132727
29,1,2004-01-06,467.506907451603,799,0.95997311591705,-331.493092548397
29,2,2004-01-07,448.79406265906,650,0.95997311591705,-201.20593734094
29,3,2004-01-08,430.830234735889,516,0.95997311591705,-85.1697652641109
29,4,2004-01-09,413.585442870685,459,0.95997311591705,-45.4145571293145
29,5,2004-01-10,397.030906290505,414,0.95997311591705,-16.969093709495
29,6,2004-01-11,381.138996227066,359,0.95997311591705,22.1389962270663
29,7,2004-01-12,365.883189805594,344,0.95997311591705,21.8831898055936
